"id","siafi_code"
br_base.city_2915700,3615
br_base.city_2915809,3617
br_base.city_2915908,3619
br_base.city_2916005,3621
br_base.city_2916104,3623
br_base.city_2916203,3625
br_base.city_2916302,3627
br_base.city_2916401,3629
br_base.city_2916500,3631
br_base.city_2916609,3633
br_base.city_2916708,3635
br_base.city_2916807,3637
br_base.city_2916856,3283
br_base.city_2916906,3639
br_base.city_2917003,3641
br_base.city_2917102,3643
br_base.city_2917201,3645
br_base.city_2917300,3647
br_base.city_2917334,3285
br_base.city_2917359,9859
br_base.city_2917409,3649
br_base.city_2917508,3651
br_base.city_2917607,3653
br_base.city_2917706,3655
br_base.city_2917805,3657
br_base.city_2917904,3659
br_base.city_2918001,3661
br_base.city_2918100,3663
br_base.city_2918209,3665
br_base.city_2918308,3667
br_base.city_2918357,3099
br_base.city_2918407,3669
br_base.city_2918456,3287
br_base.city_2918506,3671
br_base.city_2918555,3069
br_base.city_2918605,3673
br_base.city_2918704,3675
br_base.city_2918753,3289
br_base.city_2918803,3677
br_base.city_2918902,3679
br_base.city_2919009,3681
br_base.city_2919058,3291
br_base.city_2919108,3683
br_base.city_2919157,3973
br_base.city_2919207,3685
br_base.city_2919306,3687
br_base.city_2919405,3689
br_base.city_2919504,3691
br_base.city_2919553,1112
br_base.city_2919603,3693
br_base.city_2919702,3695
br_base.city_2919801,3697
br_base.city_2919900,3699
br_base.city_2919926,3293
br_base.city_2919959,3975
br_base.city_2920007,3701
br_base.city_2920106,3703
br_base.city_2920205,3705
br_base.city_2920304,3707
br_base.city_2920403,3709
br_base.city_2920452,3977
br_base.city_2920502,3711
br_base.city_2920601,3713
br_base.city_2920700,3715
br_base.city_2920809,3717
br_base.city_2920908,3719
br_base.city_2921005,3721
br_base.city_2921054,3295
br_base.city_2921104,3723
br_base.city_2921203,3725
br_base.city_2921302,3727
br_base.city_2921401,3729
br_base.city_2921450,3297
br_base.city_2921500,3731
br_base.city_2921609,3733
br_base.city_2921708,3735
br_base.city_2921807,3737
br_base.city_2921906,3739
br_base.city_2922003,3741
br_base.city_2922052,3299
br_base.city_2922102,3743
br_base.city_2922201,3745
br_base.city_2922300,3747
br_base.city_2922409,3749
br_base.city_2922508,3751
br_base.city_2922607,3753
br_base.city_2922656,3979
br_base.city_2922706,3755
br_base.city_2922730,3007
br_base.city_2922755,3009
br_base.city_2922805,3757
br_base.city_2922854,3011
br_base.city_2922904,3759
br_base.city_2923001,3761
br_base.city_2923035,3013
br_base.city_2923050,3015
br_base.city_2923100,3763
br_base.city_2923209,3765
br_base.city_2923308,3767
br_base.city_2923357,3017
br_base.city_2923407,3769
br_base.city_2923506,3771
br_base.city_2923605,3773
br_base.city_2923704,3775
br_base.city_2923803,3777
br_base.city_2923902,3779
br_base.city_2924009,3781
br_base.city_2924058,3981
br_base.city_2924108,3783
br_base.city_2924207,3785
br_base.city_2924306,3787
br_base.city_2924405,3789
br_base.city_2924504,3791
br_base.city_2924603,3793
br_base.city_2924652,3983
br_base.city_2924678,3019
br_base.city_2924702,3795
br_base.city_2924801,3797
br_base.city_2924900,3799
br_base.city_2925006,3801
br_base.city_2925105,3803
br_base.city_2925204,3805
br_base.city_2925253,3021
br_base.city_2925303,3807
br_base.city_2925402,3809
br_base.city_2925501,3811
br_base.city_2925600,3813
br_base.city_2925709,3815
br_base.city_2925758,3023
br_base.city_2925808,3817
br_base.city_2925907,3819
br_base.city_2925931,3025
br_base.city_2925956,3985
br_base.city_2926004,3821
br_base.city_2926103,3823
br_base.city_2926202,3825
br_base.city_2926301,3827
br_base.city_2926400,3829
br_base.city_2926509,3831
br_base.city_2926608,3833
br_base.city_2926657,3027
br_base.city_2926707,3835
br_base.city_2926806,3837
br_base.city_2926905,3839
br_base.city_2927002,3841
br_base.city_2927101,3843
br_base.city_2927200,3845
br_base.city_2927309,3847
br_base.city_2927408,3849
br_base.city_2927507,3851
br_base.city_2927606,3853
br_base.city_2927705,3855
br_base.city_2927804,3857
br_base.city_2927903,3859
br_base.city_2928059,3987
br_base.city_2928109,3863
br_base.city_2928406,3549
br_base.city_2928505,3869
br_base.city_2928000,3861
br_base.city_2928208,3865
br_base.city_2928307,3867
br_base.city_2928604,3871
br_base.city_2928703,3873
br_base.city_2928802,3875
br_base.city_2928901,3877
br_base.city_2928950,3029
br_base.city_2929107,3881
br_base.city_2929008,3879
br_base.city_2929057,3031
br_base.city_2929206,3883
br_base.city_2929255,3989
br_base.city_2929305,3885
br_base.city_2929354,3035
br_base.city_2929370,3033
br_base.city_2929404,3887
br_base.city_2929503,3889
br_base.city_2929602,3891
br_base.city_2929701,3893
br_base.city_2929750,3037
br_base.city_2929800,3895
br_base.city_2929909,3897
br_base.city_2930006,3899
br_base.city_2930105,3901
br_base.city_2930204,3903
br_base.city_2930154,3039
br_base.city_2930303,3905
br_base.city_2930402,3907
br_base.city_2930501,3909
br_base.city_2930600,3911
br_base.city_2930709,3913
br_base.city_2930758,3041
br_base.city_2930766,3043
br_base.city_2930774,3045
br_base.city_2930808,3915
br_base.city_2930907,3917
br_base.city_2931004,3919
br_base.city_2931053,3991
br_base.city_2931103,3921
br_base.city_2931202,3923
br_base.city_2931301,3925
